Name,Tags,Sector,Position,Company name,Conference Goals,Themes of Interest,Bio,Email,LinkedIn,Twitter,Avatar,First name,Last name,tagList,id,Cluster,Degree,InterclusterFraction,ClusterDiversity,ClusterBridging,ClusterArchetype,cluster_name,x,y
Kailee Heller,Cannabis|Sports Tech|Diagnosis|Internet of Things|Sustainability|Infrastructure|City Information Managment|Policy|Equity|Crowdfunding|Investment|Impact Investing|Automation / Artificial Intelligence|Smart Collaboration Technology|Culture / PeopleGeeks|Business Models|Purpose|Social Networks / Influencers|Consumer Behaviour|Policy|eSports / Sport|Exploration|Personal Development|Interfaces / Platforms|Plant Based|Supply Chain|Optimal Nutrition|Alcohol and other drugs,Government,Surveyor,"Witting, Bailey and Windler",Tell My Story|Improve my business|Explore new ways of working|Other,Culture|Money,,reginald.welch@example.com,,,https://lorempixel.com/600/600/cats/?23460,Kailee,Heller,"['Cannabis', 'Sports Tech', 'Diagnosis', 'Internet of Things', 'Sustainability', 'Infrastructure', 'City Information Managment', 'Policy', 'Equity', 'Crowdfunding', 'Investment', 'Impact Investing', 'Automation / Artificial Intelligence', 'Smart Collaboration Technology', 'Culture / PeopleGeeks', 'Business Models', 'Purpose', 'Social Networks / Influencers', 'Consumer Behaviour', 'Policy', 'eSports / Sport', 'Exploration', 'Personal Development', 'Interfaces / Platforms', 'Plant Based', 'Supply Chain', 'Optimal Nutrition', 'Alcohol and other drugs']",0,Cluster_0,4,0.25,-0.4906395033934575,-0.5682222824303405,-0.2301956147431265,"Policy, Personal Development, Plant Based, Sustainability, Crowdfunding",-15.784679412841797,11.631965637207031
Elijah Hickle,Prevention|New Hospitals|Artificial Intelligence|Virtual Reality|Community Engagement|Infrastructure|Energy|Policy|Crowdfunding|Cryptocurrency|IPO / ICO|Impact Investing|Machine Learning|Culture / PeopleGeeks|Business Models|Strategy / Leadership|Purpose|Social Networks / Influencers|Consumer Behaviour|Art|eSports / Sport|Gamification|Engagement / Participation|Personal Development|Farming|Distribution|Lab Grown Food|Optimal Nutrition,Established Business,Bus Driver,Boehm-Purdy,Meet Startups|Tell My Story|Improve my business|Explore new ways of working,Culture|Food,,lavonne17@example.com,,,https://lorempixel.com/600/600/cats/?43018,Elijah,Hickle,"['Prevention', 'New Hospitals', 'Artificial Intelligence', 'Virtual Reality', 'Community Engagement', 'Infrastructure', 'Energy', 'Policy', 'Crowdfunding', 'Cryptocurrency', 'IPO / ICO', 'Impact Investing', 'Machine Learning', 'Culture / PeopleGeeks', 'Business Models', 'Strategy / Leadership', 'Purpose', 'Social Networks / Influencers', 'Consumer Behaviour', 'Art', 'eSports / Sport', 'Gamification', 'Engagement / Participation', 'Personal Development', 'Farming', 'Distribution', 'Lab Grown Food', 'Optimal Nutrition']",1,Cluster_1,10,0.4,0.89771067952087,0.7179118126267743,1.02778382674468,"Policy, Cryptocurrency, Engagement / Participation, Business Models, Energy",8.471638679504395,-0.7097277045249939
Claudine Cruickshank,Sports Tech|Personal Data / Electronic Medical Record|New Hospitals|Virtual Reality|Security|Community Engagement|Governance|City Information Managment|Crowdfunding|Blockchain|Trade|IPO / ICO|Skills and Capability Development|Smart Collaboration Technology|Remote Work|Strategy / Leadership|Consumer Behaviour|Ethics|Identity|Design|eSports / Sport|Exploration|Engagement / Participation|Personal Development|Vitamins|Growth|Farming|Vegetarian / Vegan,Startup,HVAC Mechanic,"Moore, Monahan and Goyette",Meet Startups|Understand Government Policy|Explore new ways of working|Other,Food|Work,,lebsack.river@example.net,,,https://lorempixel.com/600/600/cats/?96313,Claudine,Cruickshank,"['Sports Tech', 'Personal Data / Electronic Medical Record', 'New Hospitals', 'Virtual Reality', 'Security', 'Community Engagement', 'Governance', 'City Information Managment', 'Crowdfunding', 'Blockchain', 'Trade', 'IPO / ICO', 'Skills and Capability Development', 'Smart Collaboration Technology', 'Remote Work', 'Strategy / Leadership', 'Consumer Behaviour', 'Ethics', 'Identity', 'Design', 'eSports / Sport', 'Exploration', 'Engagement / Participation', 'Personal Development', 'Vitamins', 'Growth', 'Farming', 'Vegetarian / Vegan']",2,Cluster_4,6,0.3333333333333333,0.15244601389691056,-0.27948293191175144,-0.12392923082327402,"IPO / ICO, Design, Gamification, Engagement / Participation, Smart Collaboration Technology",-16.20914077758789,-5.346451759338379
Danika Goldner,Exercise |Functional Medicine|Diagnosis|Prevention|Security|Governance|Smart Cities|Energy|Venture Capital|Trade|Cryptocurrency|Impact Investing|Automation / Artificial Intelligence|Machine Learning|Culture / PeopleGeeks|Augmented Decision Making|Purpose|Education|Identity|Art|eSports / Sport|Engagement / Participation|Personal Development|Interfaces / Platforms|Growth|Distribution|Lab Grown Food|Optimal Nutrition,Investor,Assessor,"Dooley, Witting and Langworth",Meet Investors|Understand Government Policy|Improve my business|Other,Cities|Play,,lyda63@example.net,,,https://lorempixel.com/600/600/cats/?30187,Danika,Goldner,"['Exercise ', 'Functional Medicine', 'Diagnosis', 'Prevention', 'Security', 'Governance', 'Smart Cities', 'Energy', 'Venture Capital', 'Trade', 'Cryptocurrency', 'Impact Investing', 'Automation / Artificial Intelligence', 'Machine Learning', 'Culture / PeopleGeeks', 'Augmented Decision Making', 'Purpose', 'Education', 'Identity', 'Art', 'eSports / Sport', 'Engagement / Participation', 'Personal Development', 'Interfaces / Platforms', 'Growth', 'Distribution', 'Lab Grown Food', 'Optimal Nutrition']",3,Cluster_1,5,0.6,0.8217660678128451,0.8980310848282542,-1.3023105731012101,"Policy, Cryptocurrency, Engagement / Participation, Business Models, Energy",5.166874408721924,-6.057568073272705
Susie Spinka,Exercise |Sports Tech|New Hospitals|Internet of Things|Community Engagement|Governance|Energy|Policy|Venture Capital|Investment|Sharing Economy|IPO / ICO|Machine Learning|Uncertainty / Accelerating Change|Smart Collaboration Technology|Enterprise Technology|Education|Social Networks / Influencers|Creative Industries|Consumer Behaviour|Gamification|Engagement / Participation|Personal Development|Video Games|Supply Chain|Lab Grown Food|Optimal Nutrition|Alcohol and other drugs,Media,Municipal Fire Fighting Supervisor,"Shanahan, Smith and Zulauf",Meet Investors|Meet Startups|Improve my business|Explore new ways of working,Health|Play,,devon55@example.org,,,https://lorempixel.com/600/600/cats/?82938,Susie,Spinka,"['Exercise ', 'Sports Tech', 'New Hospitals', 'Internet of Things', 'Community Engagement', 'Governance', 'Energy', 'Policy', 'Venture Capital', 'Investment', 'Sharing Economy', 'IPO / ICO', 'Machine Learning', 'Uncertainty / Accelerating Change', 'Smart Collaboration Technology', 'Enterprise Technology', 'Education', 'Social Networks / Influencers', 'Creative Industries', 'Consumer Behaviour', 'Gamification', 'Engagement / Participation', 'Personal Development', 'Video Games', 'Supply Chain', 'Lab Grown Food', 'Optimal Nutrition', 'Alcohol and other drugs']",4,Cluster_4,9,0.3333333333333333,0.4556010413826297,-0.09313862130989974,0.8085380046468361,"IPO / ICO, Design, Gamification, Engagement / Participation, Smart Collaboration Technology",-4.662756443023682,-1.1038401126861572
Kenyatta Connelly,Alternative Health|Health Tech|Functional Medicine|New Hospitals|Community Engagement|Energy|City Information Managment|Policy|Company Structure|Blockchain|Investment|IPO / ICO|Smart Collaboration Technology|Culture / PeopleGeeks|Business Models|Enterprise Technology|Values-Based Leadership|Education|Consumer Behaviour|Identity|eSports / Sport|Gamification|Exploration|Personal Development|Plant Based|Growth|AgTech|Distribution,Established Business,Legal Support Worker,"Kozey, Lemke and Price",Meet Investors|Understand Government Policy|Tell My Story|Explore new ways of working,Cities|Work,,jziemann@example.org,,,https://lorempixel.com/600/600/cats/?66306,Kenyatta,Connelly,"['Alternative Health', 'Health Tech', 'Functional Medicine', 'New Hospitals', 'Community Engagement', 'Energy', 'City Information Managment', 'Policy', 'Company Structure', 'Blockchain', 'Investment', 'IPO / ICO', 'Smart Collaboration Technology', 'Culture / PeopleGeeks', 'Business Models', 'Enterprise Technology', 'Values-Based Leadership', 'Education', 'Consumer Behaviour', 'Identity', 'eSports / Sport', 'Gamification', 'Exploration', 'Personal Development', 'Plant Based', 'Growth', 'AgTech', 'Distribution']",5,Cluster_4,8,0.5,0.5385982877317465,1.3913880576534683,-0.32129190260334506,"IPO / ICO, Design, Gamification, Engagement / Participation, Smart Collaboration Technology",-9.489310264587402,-7.1550822257995605
Nat Schroeder,Alternative Health|Prevention|Virtual Reality|Internet of Things|Sustainability|Mobility / Transport|City Information Managment|Policy|Equity|Company Structure|Trade|Impact Investing|Automation / Artificial Intelligence|Machine Learning|Skills and Capability Development|Strategy / Leadership|Values-Based Leadership|Creative Industries|Policy|Design|eSports / Sport|Engagement / Participation|Personal Development|Video Games|Supply Chain|Farming|Distribution|Alcohol and other drugs,Established Business,Producer,Keebler and Sons,Meet Investors|Meet Startups|Tell My Story|Explore new ways of working,Food|Health,,brau@example.net,,,https://lorempixel.com/600/600/cats/?42403,Nat,Schroeder,"['Alternative Health', 'Prevention', 'Virtual Reality', 'Internet of Things', 'Sustainability', 'Mobility / Transport', 'City Information Managment', 'Policy', 'Equity', 'Company Structure', 'Trade', 'Impact Investing', 'Automation / Artificial Intelligence', 'Machine Learning', 'Skills and Capability Development', 'Strategy / Leadership', 'Values-Based Leadership', 'Creative Industries', 'Policy', 'Design', 'eSports / Sport', 'Engagement / Participation', 'Personal Development', 'Video Games', 'Supply Chain', 'Farming', 'Distribution', 'Alcohol and other drugs']",6,Cluster_3,2,0.0,-2.1564639136836954,-1.9778272499211331,0.4416792790001235,"eSports / Sport, Farming, Automation / Artificial Intelligence, Virtual Reality, Equity",-0.9098685383796692,17.812231063842773
Norene Satterfield,Cannabis|Sports Tech|Prevention|Artificial Intelligence|Sustainability|Security|Smart Cities|Participation|Equity|Company Structure|Venture Capital|Trade|Automation / Artificial Intelligence|Machine Learning|Gender / Diversity|Business Models|Social Networks / Influencers|Consumer Behaviour|Policy|Design|eSports / Sport|Gamification|Engagement / Participation|Personal Development|Growth|Lab Grown Food|Optimal Nutrition|Vegetarian / Vegan,Investor,Scientific Photographer,Upton Inc,Meet Investors|Meet Startups|Understand Government Policy|Other,Culture|Play,,mattie.hudson@example.net,,,https://lorempixel.com/600/600/cats/?31041,Norene,Satterfield,"['Cannabis', 'Sports Tech', 'Prevention', 'Artificial Intelligence', 'Sustainability', 'Security', 'Smart Cities', 'Participation', 'Equity', 'Company Structure', 'Venture Capital', 'Trade', 'Automation / Artificial Intelligence', 'Machine Learning', 'Gender / Diversity', 'Business Models', 'Social Networks / Influencers', 'Consumer Behaviour', 'Policy', 'Design', 'eSports / Sport', 'Gamification', 'Engagement / Participation', 'Personal Development', 'Growth', 'Lab Grown Food', 'Optimal Nutrition', 'Vegetarian / Vegan']",7,Cluster_1,7,0.42857142857142855,-0.009678071889806647,1.5416233339182397,0.41983196334279665,"Policy, Cryptocurrency, Engagement / Participation, Business Models, Energy",13.051310539245605,3.534903049468994
Mavis Bins,Peak Performance|Functional Medicine|Prevention|Artificial Intelligence|Sustainability|Security|Participation|Policy|Blockchain|Cryptocurrency|IPO / ICO|Impact Investing|Remote Work|Culture / PeopleGeeks|Enterprise Technology|Strategy / Leadership|Purpose|Creative Industries|Consumer Behaviour|Policy|Gamification|Exploration|Engagement / Participation|Video Games|Growth|AgTech|Farming|Lab Grown Food,Media,CEO,Dickinson-Hartmann,Meet Investors|Meet Startups|Tell My Story|Improve my business,Food|Work,,abernathy.grace@example.net,,,https://lorempixel.com/600/600/cats/?49606,Mavis,Bins,"['Peak Performance', 'Functional Medicine', 'Prevention', 'Artificial Intelligence', 'Sustainability', 'Security', 'Participation', 'Policy', 'Blockchain', 'Cryptocurrency', 'IPO / ICO', 'Impact Investing', 'Remote Work', 'Culture / PeopleGeeks', 'Enterprise Technology', 'Strategy / Leadership', 'Purpose', 'Creative Industries', 'Consumer Behaviour', 'Policy', 'Gamification', 'Exploration', 'Engagement / Participation', 'Video Games', 'Growth', 'AgTech', 'Farming', 'Lab Grown Food']",8,Cluster_1,4,0.25,-0.2791577231169172,-0.5097130640557429,-0.14044971805287362,"Policy, Cryptocurrency, Engagement / Participation, Business Models, Energy",4.9107346534729,-0.2733939290046692
Destinee Homenick,Diagnosis|Prevention|New Hospitals|Internet of Things|Sustainability|Security|Mobility / Transport|Policy|Company Structure|Sharing Economy|Cryptocurrency|Impact Investing|Automation / Artificial Intelligence|Entrepreneurship|Business Models|Enterprise Technology|Social Networks / Influencers|Ethics|Policy|Art|eSports / Sport|Personal Development|Interfaces / Platforms|Video Games|Plant Based|AgTech|Supply Chain|Alcohol and other drugs,Other,Hotel Desk Clerk,Rogahn-Schoen,Meet Startups|Understand Government Policy|Tell My Story|Explore new ways of working,Cities|Work,,collin.cartwright@example.com,,,https://lorempixel.com/600/600/cats/?95364,Destinee,Homenick,"['Diagnosis', 'Prevention', 'New Hospitals', 'Internet of Things', 'Sustainability', 'Security', 'Mobility / Transport', 'Policy', 'Company Structure', 'Sharing Economy', 'Cryptocurrency', 'Impact Investing', 'Automation / Artificial Intelligence', 'Entrepreneurship', 'Business Models', 'Enterprise Technology', 'Social Networks / Influencers', 'Ethics', 'Policy', 'Art', 'eSports / Sport', 'Personal Development', 'Interfaces / Platforms', 'Video Games', 'Plant Based', 'AgTech', 'Supply Chain', 'Alcohol and other drugs']",9,Cluster_0,4,0.25,-0.4906395033934575,-0.5682222824303405,-0.2301956147431265,"Policy, Personal Development, Plant Based, Sustainability, Crowdfunding",-12.644144058227539,12.010528564453125
